name,color,rarity,picked,ata,games_played,gpwr
Archon of the Wild Rose,W,R,8046,1.56,41930,55.1
Archon's Glory,W,C,61862,9.28,203660,55.9
Armory Mice,W,C,55243,9.42,174617,55.1
Besotted Knight,W,C,44945,8.23,167352,53.7
Break the Spell,W,C,40877,12.09,18622,50
Charmed Clothier,W,C,41497,9.68,105453,52.5
Cheeky House-Mouse,W,U,21181,6.6,85874,55.8
Cooped Up,W,C,54733,4.89,283138,55.2
Cursed Courtier,W,U,20821,5.39,93086,53.6
Discerning Financier,W,U,14794,7.54,41222,51.5
Dutiful Griffin,W,U,15825,8.07,39634,51.7
Eerie Interference,W,U,16503,11.78,2675,48.7
Expel the Interlopers,W,R,8294,1.97,39658,54.4
Frostbridge Guard,W,C,40803,9.75,98377,52.5
Gallant Pie-Wielder,W,U,19603,6.2,80772,54.3
Glass Casket,W,U,20156,5,92653,54.2
Hopeful Vigil,W,C,64462,5.01,337014,56.1
Kellan's Lightblades,W,C,48948,7.04,205771,53.3
Knight of Doves,W,U,14538,7.61,39545,50.3
Moment of Valor,W,C,40565,10.36,67677,52.9
Moonshaker Cavalry,W,M,2751,2.47,9400,50.5
Plunge into Winter,W,C,39314,12.2,20159,49.2
The Princess Takes Flight,W,U,28548,4.15,134852,55.8
Protective Parents,W,C,39585,10.48,67749,51.3
Regal Bunnicorn,W,R,8330,1.81,44510,56.2
Return Triumphant,W,C,47639,9.51,136427,54.2
Rimefur Reindeer,W,C,37799,10.72,55593,51.3
Savior of the Sleeping,W,C,35756,10.26,66740,51.2
Slumbering Keepguard,W,C,39946,10.72,68146,52.3
Solitary Sanctuary,W,U,13591,9.14,21115,48
Spellbook Vendor,W,R,8974,1.51,50859,56.9
Stockpiling Celebrant,W,C,67336,6.95,293246,55.4
Stroke of Midnight,W,U,13438,6.19,45878,50.2
A Tale for the Ages,W,R,5386,4.15,14963,50.2
Three Blind Mice,W,R,8334,2.21,42247,55.3
Tuinvale Guide,W,C,41931,10.64,65834,52.3
Unassuming Sage,W,C,44737,9.43,138710,53.1
Virtue of Loyalty,W,M,4365,1.25,24816,57.3
Werefox Bodyguard,W,R,7966,1.86,39948,55.8
Aquatic Alchemist,U,C,53609,9.51,166885,53.3
Archive Dragon,U,U,20296,5.42,87833,53
Asinine Antics,U,M,2829,2.91,9779,49
Beluna's Gatekeeper,U,C,51441,7.83,203756,53
Bitter Chill,U,U,21209,4.95,103053,54
Chancellor of Tales,U,U,15148,7.39,37094,49.8
Diminisher Witch,U,C,49645,10.39,108153,53.3
Disdainful Stroke,U,U,19231,10.11,31738,51.5
Extraordinary Journey,U,R,9436,3.28,43486,54.6
Farsight Ritual,U,R,7053,4.49,27318,52.4
Freeze in Place,U,C,36209,11.93,31606,48
Gadwick's First Duel,U,U,17468,7.68,46658,51.1
Galvanic Giant,U,U,17225,8.54,33003,49.9
Horned Loch-Whale,U,R,8857,1.81,47039,57.3
Ice Out,U,C,54595,9.46,168506,53.6
Icewrought Sentry,U,U,15392,6.96,50583,52.1
Ingenious Prodigy,U,R,8766,2.03,45740,53.8
Into the Fae Court,U,C,59319,8.71,197638,54.2
Johann's Stopgap,U,C,66675,8.75,237345,54.1
Living Lectern,U,C,48293,11.41,65057,52
Merfolk Coralsmith,U,C,46204,12.47,19499,51.4
Misleading Motes,U,C,50276,11.51,48061,52.3
Mocking Sprite,U,C,40998,9.03,127425,51.9
Obyra's Attendants,U,C,46986,8.96,151184,52
Picklock Prankster,U,U,24191,5.48,113202,55.3
Quick Study,U,C,50164,9.24,152750,53
Sleep-Cursed Faerie,U,R,8332,2.21,42201,55.6
Sleight of Hand,U,C,51620,10.85,99340,54.5
Snaremaster Sprite,U,C,41957,9.54,113448,51.3
Spell Stutter,U,C,56305,8.39,208984,54.8
Splashy Spellcaster,U,U,17853,7.23,56985,51.3
Stormkeld Prowler,U,C,44686,11.82,43638,51.3
Succumb to the Cold,U,U,15510,10.14,20311,48.9
Talion's Messenger,U,R,9000,1.97,47503,56.2
Tenacious Tomeseeker,U,U,25375,6.87,97808,53.5
Vantress Transmuter,U,C,44377,8.8,144231,52.7
Virtue of Knowledge,U,M,2370,5.72,1568,45.1
